アイドリングストップ;アイドリング・ストップ 	(n) turning off a vehicle engine when stopped (wasei: idling stop)
アイドル 	(adj-f) (See アイドル状態) idle
アイドル 	(n) (1) entertainer (esp. boy band or girl group member) whose image is manufactured to cultivate a dedicated consumer fan following
アイドルインタラプト;アイドル・インタラプト 	(n) {comp} idle interrupt
アイドルキャピタル;アイドル・キャピタル 	(n) idle capital
アイドルギヤ;アイドルギア;アイドル・ギヤ;アイドル・ギア 	(n) idle gear
アイドルグループ;アイドル・グループ 	(n) (See アイドル・1) idol group (wasei:)
アイドルコスト;アイドル・コスト 	(n) idle cost
アイドルコラージュ;アイドル・コラージュ 	(n) (See アイコラ) composite image of a celebrity (esp. an idol's face with the body of a nude model) (wasei: idol collage)
アイドルシステム;アイドル・システム 	(n) idle system
アイドルタイム;アイドル・タイム 	(n) idle time
アイドルビット;アイドル・ビット 	(n) idle bit
アイドルフラグ;アイドル・フラグ 	(n) {comp} idle flag
アイドルマネー;アイドル・マネー 	(n) idle money
アイドルヲタ;アイドルオタ 	(n) (sl) (abbr) (See アイドルオタク) (male) otaku obsessed with (female) idols
アイヌ(P);アイノ(ok) 	(n) Ainu (ain:)
アイヌラックル 	(n) Okikurumi (ain:)
アイネット 	(n) {comp} INET
アイバンク;アイ・バンク 	(n) eye bank
アイパック 	(n) eye pack (beauty treatment)
アイパッチ 	(n) eyepatch
アイビー;アイビ 	(n) (1) ivy
アイビーシャツ;アイビー・シャツ 	(n) ivy shirt
アイビースタイル;アイビー・スタイル 	(n) ivy style
アイビーゼラニウム;アイビー・ゼラニウム 	(n) ivy geranium (Pelargonium peltatum)
アイビーム 	(n) (See Ｉ形鋼) I-beam
アイビームポインタ;アイビーム・ポインタ 	(n) {comp} I-beam pointer
アイビーリーグ;アイビー・リーグ 	(n) Ivy League
アイビールック;アイビー・ルック 	(n) Ivy league look (wasei: Ivy look)
アイビス 	(n) ibis
アイピーエックスエスピーエックス 	(n) {comp} IPX-SPX
アイピーブイシックス 	(n) {comp} IPv6
アイピロー;アイ・ピロー 	(n) eye pillow
アイフ 	(n) {comp} AIFF
アイフック 	(n) eye hook
アイブリ 	(n) blackbanded trevally (Seriolina nigrofasciata)
アイブロー;アイブラウ;アイブロウ 	(n) eyebrow
アイブローシェープ;アイブロー・シェープ 	(n) eyebrow shape
アイブローペンシル;アイブロー・ペンシル 	(n) eyebrow pencil
アイブロウパレット;アイブロウ・パレット 	(n) eyebrow palette
アイベックス 	(n) ibex
アイホ 	(n) (abbr) (See アイスホッケー) ice hockey
アイボリー(P);アイヴォリー;アイボリ 	(n) ivory
アイボリーブラック;アイボリー・ブラック 	(n) ivory black
アイボリーホワイト 	(n) ivory-white
アイボルト 	(n) eye bolt
アイマスク;アイ・マスク 	(n) eye mask
アイマックス 	(n) {comp} IMAX
アイマップ 	(n) {comp} IMAP
アイムソーリーヒゲソーリー;アイム・ソーリー・ヒゲソーリー;アイムソーリー・ヒゲソーリー 	(exp) (joc) (pun on 髭剃り) (See 髭剃り) I'm sorry
アイメイク 	(n) eye makeup (wasei: eye make)
アイメイト;アイメート 	(n) seeing-eye dog (wasei: eye mate)
アイモードサービス 	(n) i-mode service
アイヨンハチロク 	(n) {comp} i486
アイライナー 	(n) eye liner
アイライナーペンシル;アイライナー・ペンシル 	(n) eyeliner pencil
アイライン;アイ・ライン 	(n) eyeliner (wasei: eye line)
アイラグ 	(n) (See 馬乳酒) kumis (fermented mare's milk) (mon: airag)
アイラッシュ 	(n) eyelash
アイラッシュカーラー;アイラッシュ・カーラー 	(n) eyelash curler
アイランド 	(n) island
アイランドキッチン;アイランド・キッチン 	(n) kitchen island (wasei: island kitchen)
アイランドグレゴリー;アイランド・グレゴリー 	(n) island gregory (Stegastes insularis)
アイランドホッグフィッシュ 	(n) island hogfish (Bodianus insularis)
アイリス 	(n) iris
アイリスアウト 	(n) iris-out
アイリスイン 	(n) iris-in
アイリックス 	(n) {comp} IRIX
アイリッシュ 	(n,adj-no) Irish
アイリッシュウイスキー;アイリッシュ・ウイスキー 	(n) Irish whiskey
アイリッシュウルフハウンド;アイリッシュ・ウルフハウンド 	(n) Irish wolfhound
アイリッシュコーヒー;アイリッシュ・コーヒー 	(n) Irish coffee
アイリッシュセッター;アイリッシュ・セッター 	(n) Irish setter
アイリッシュハープ;アイリッシュ・ハープ 	(n) Irish harp
アイリフト 	(n) eyelift
アイリンク 	(n) {comp} i.LINK
アイル 	(n) aisle
アイレット 	(n) eyelet
アイレットワーク;アイレット・ワーク 	(n) eyelet work
アイレン 	(n) Airén (wine grape variety) (spa:)
アイロニー;イロニー 	(n) (イロニー is from ironie (fre), Ironie (ger)) irony
アイロニカル 	(adj-na) ironical
アイロニック 	(adj-na) ironic
アイロン 	(n) (1) iron (for pressing clothes)
アインスタイニウム 	(n) einsteinium (Es)
アウアズ 	(n) ours
アウアセルブズ 	(n) ourselves
アウェーゲーム;アウェー・ゲーム 	(n) away game
アウェーゴール;アウェー・ゴール 	(n) away goals (rule in soccer)
アウェア;アウエア 	(n) aware
アウェイ;アウェー;アウエー;アウエイ 	(n) away
アウェイク;アウエイク 	(n) awake
アウェイクン;アウエイクン 	(vs) awaken
アウェイト;アウエイト 	(n) await
アウケノグラニスオッキデンタリス 	(n) bubu (Auchenoglanis occidentalis)
アウスト 	(vs) oust
アウストラロピテクス;オーストラロピテクス 	(n) Australopithecus (lat:)
アウストロレビアスアドルフィー 	(n) killifish (Austrolebias adloffi)
アウター;アウタ 	(adj-f) (1) (ant: インナー・1) outer
アウターウェア;アウターウエア;アウター・ウェア;アウター・ウエア 	(n) outerwear
アウタースペース;アウター・スペース 	(n) outer space
アウターライズ 	(n) (See アウターライズ地震・アウターライズじしん) outerrise
アウタルキー 	(n) autarchy (ger: Autarkie)
アウチ 	(int) ouch
アウティング 	(n) (1) outing (someone's sexual orientation or gender identity)
アウテリア 	(n) (obsc) (See エクステリア) exterior (of a building) (wasei: outerior)
アウトゥサイド;アウトサイド 	(n) outside
アウトウエア;アウト・ウエア 	(n) out wear
アウトオブデート;アウト・オブ・デート 	(adj-na,n) out-of-date
アウトオブバウンズ;アウト・オブ・バウンズ 	(n) out of bounds
アウトオブファッション;アウト・オブ・ファッション 	(exp,n) out of fashion
アウトオブプレー;アウト・オブ・プレー 	(n) {sports} (See インプレー) out of play (ball)
アウトカーブ 	(n) {baseb} outcurve
アウトカウント;アウト・カウント 	(n) {baseb} number of batters already out (eng: out count)
アウトカム 	(n) outcome
アウトカメラ 	(n) (ant: インカメラ) rear camera (smartphone, tablet, etc.) (wasei: out camera)
アウトグループ 	(n) {biol} outgroup
アウトコース;アウト・コース 	(n) (1) outside track (wasei: out course)
アウトコーナー;アウト・コーナー 	(n) (See インコーナー) outside corner (baseball, racetrack, etc.) (wasei: out corner)
アウトサイダー 	(n) outsider
アウトサイダーアート;アウトサイダー・アート 	(n) outsider art
アウトサイドグリップ;アウトサイド・グリップ 	(n) outside grip
アウトサイドポケット;アウトサイド・ポケット 	(n) outside pocket
アウトスウィング 	(n) outswing
アウトスタンディング 	(n) outstanding
アウトストラーダ 	(n) autostrada (ita:)
